Nombre del Vino,Bodega,Precio (€)
Acivro Mencía,Ribeira Sacra,11.98€
Agoreira Garnacha,Valdeorras,8.33€
Alma de Autor Mencía 2021,Monterrei,8.75€
Altos de Torona Albariño 2022,Rías Baixas,10.06€
Altos de Torona Rosal 2022,Rías Baixas,11.32€
Altos Torona Brut,Rías Baixas,16.50€
Carallán 2022,Rías Baixas,8.40€
Carlos Villanueva Edición Especial,Ribeiro,25.00€
Carlos Villanueva Godello,Ribeiro,11.40€
Cuesta de los Olivos Godello 2023,Ribeira Sacra,12.83€
Cuesta de los Olivos Mencía 2019,Ribeira Sacra,12.08€
El Prohibido,Ribeira Sacra,11.15€
Finca Cuarta 2023,Ribeira Sacra,7.75€
Finca Cuarta Godello 2022,Ribeira Sacra,9.65€
Finca Cuarta Malcriado,Ribeira Sacra,22.00€
Finca Cuarta Mencía Barrica 2019,Ribeira Sacra,16.50€
Finca Millara 2018,Ribeira Sacra,16.89€
Heroico Mencía 2022,Ribeira Sacra,7.34€
Lagariza 2022,N/A,8.50€
Mar de Frades Finca Monteveiga,Rías Baixas,37.50€
Maremel,Rías Baixas,10.00€
Nordesía Vermú Branco,N/A,13.51€
Nordesía Vermú Roxo,N/A,13.51€
Oceanum,Rías Baixas,10.90€
Petroni Bitter,N/A,16.00€
Regina Dona,Ribeira Sacra,18.58€
Regina Viarum Ecológico 2019,Ribeira Sacra,18.60€
Regina Viarum Expresión 2020,Ribeira Sacra,16.80€
Regina Viarum Mencía 2022,Ribeira Sacra,10.90€
Ribera De los Naranjos 2019,Ribeira Sacra,16.85€
Rosa Ruiz 2023,Rías Baixas,18.69€
Ruchel Godello 2023,Valdeorras,8.34€
Ruchel Mencía 2021,Valdeorras,6.75€
Santiago Ruiz 2023,Rías Baixas,14.85€
Señorío de Lazoiro 2023,Rías Baixas,8.25€
St Petroni Vermú Rojo,N/A,13.94€
Val de Quiroga 2022- Pack de 3 botellas,Ribeira Sacra,15.40€
Valdesil Godello sobre Lías 2022,Valdeorras,17.00€
Viña de Neira 2022,Ribeira Sacra,7.00€
